Name,Country/See,Role_Office,Date_of_Birth,Age,Background
Daniel Sturla SDB,Uruguay,Archbishop of Montevideo,4 July 1959,65,"Cardinal Daniel Sturla SDB is an Uruguayan Salesian priest and Archbishop of Montevideo, born in 1959. He became a cardinal in 2015, appointed by Pope Francis, and is known for his dynamic leadership within the Catholic Church in Uruguay—a country marked by secularism and low religious participation. Sturla is recognized for his advocacy of a more visible Church presence in public life and his efforts to engage youth and promote Catholic education. He often emphasizes dialogue, social outreach, and the importance of religious values in shaping society, while also upholding traditional Church teachings on moral and social issues."
Arlindo Gomes Furtado,Cape Verde,Bishop of Santiago de Cabo Verde,15 November 1949,75,"Cardinal Arlindo Gomes Furtado, born on November 15, 1949, in Santa Catarina, Cape Verde, is a prominent Catholic prelate who has served as the Bishop of Santiago de Cabo Verde since 2009. Ordained a priest in 1976, he has held various roles, including rector of the São José Seminary and vicar general of the Santiago diocese. In 2003, he became the first Bishop of Mindelo and was appointed to his current position in 2009. Pope Francis elevated him to cardinal in 2015, making him the first Cape Verdean to hold this title. Cardinal Furtado emphasizes the importance of strong family ties, viewing the family as the foundation for faith and community, and advocates for the Church's role in fostering peace and fraternity. ([vaticannews.va](https://www.vaticannews.va/en/africa/news/2018-05/cape-verdean-cardinal-urges-strong-family-ties.html?utm_source=openai)) "
Soane Patita Paini Mafi,Tonga,Bishop of Tonga,19 December 1961,63,"Born on December 19, 1961, in Nukuʻalofa, Tonga, Cardinal Soane Patita Paini Mafi is the first Tongan to be appointed a cardinal, a position he assumed in 2015 at the age of 53, making him the youngest member of the College of Cardinals at that time. Raised in a devout Catholic family, he was ordained a priest in 1991 and became Bishop of Tonga in 2008. Cardinal Mafi emphasizes deepening faith, as reflected in his episcopal motto ""Ke Loloto e Tui"" (""Deepen the Faith""), and advocates for a humble yet passionate Church filled with the ""fire of the Spirit."" He is also a vocal advocate against climate change, highlighting its impact on low-lying Pacific regions, and expresses concern over globalization's effects on traditional Tongan culture, particularly the shift towards materialism and individualism. ([americamagazine.org](https://www.americamagazine.org/content/dispatches/our-church-has-shine-out-cardinal-elect-soane-patita-paini-mafi-tonga?utm_source=openai)) "
Dieudonné Nzapalainga CSSp,Central African Republic,Archbishop of Bangui,14 March 1967,58,"Cardinal Dieudonné Nzapalainga, a member of the Congregation of the Holy Spirit (CSSp), is the Archbishop of Bangui, Central African Republic. Born in 1967, he became the youngest cardinal appointed by Pope Francis in 2016. Nzapalainga is widely recognized for his peacebuilding efforts during the Central African Republic's civil conflict, notably promoting dialogue and reconciliation between Christians and Muslims. He advocates for social justice, interfaith harmony, and the protection of human dignity, emphasizing the Church’s role as a mediator and voice for the marginalized in his violence-stricken nation."
Carlos Osoro Sierra,Spain,Archbishop emeritus of Madrid,16 May 1945,79,"Cardinal Carlos Osoro Sierra is a Spanish prelate of the Catholic Church, born in 1945, known for his pastoral approach and moderate views. He served as Archbishop of Madrid from 2014 to 2023 and was made a cardinal by Pope Francis in 2016. Osoro is recognized for his emphasis on dialogue, inclusion, and social outreach, aligning with Pope Francis’s vision for a more compassionate and open Church. He has advocated for pastoral care over strict doctrinal enforcement, encouraged the participation of laypeople, and supported efforts to address social injustices, positioning himself as a bridge-builder within the Spanish Church and beyond."
Sérgio da Rocha,Brazil,Archbishop of São Salvador da Bahia,21 October 1959,65,"Cardinal Sérgio da Rocha, born on October 21, 1959, in Dobrada, São Paulo, is a prominent Brazilian prelate who has served as Archbishop of São Salvador da Bahia since 2020 and was elevated to cardinal in 2016. His pastoral work emphasizes compassion and social justice, notably addressing violence against marginalized communities. In May 2021, he celebrated a Mass honoring victims of anti-LGBTQ violence, condemning societal indifference to such acts. ([newwaysministry.org](https://www.newwaysministry.org/2021/06/15/brazilian-cardinal-celebrates-memorial-mass-for-local-victims-of-anti-lgbtq-violence/?utm_source=openai)) Additionally, he has criticized the aggression prevalent on social media, urging Catholics to promote peace and fraternity. ([fides.org](https://www.fides.org/en/news/63821-AMERICA_BRAZIL_Cardinal_da_Rocha_Too_much_aggression_in_social_media_Also_Carnival_highlighted_the_violence?utm_source=openai)) His episcopal motto, ""Omnia in Caritate"" (""All in Love""), reflects his commitment to love and service. ([en.wikipedia.org](https://en.wikipedia.org/wiki/S%C3%A9rgio_da_Rocha?utm_source=openai)) "
Blase J. Cupich,United States,Archbishop of Chicago,19 March 1949,76,"Cardinal Blase J. Cupich, appointed as the Archbishop of Chicago in 2014 and elevated to cardinal by Pope Francis in 2016, is known for his moderate and pastoral approach within the Catholic Church. He emphasizes dialogue, accompaniment, and inclusion, often aligning with Pope Francis on issues such as social justice, care for migrants, and environmental responsibility. Cupich has prioritized addressing the sexual abuse crisis with transparency and has supported pastoral flexibility on issues like communion for divorced and remarried Catholics. While respected for his openness, he has also faced criticism from more conservative Catholics for his progressive stances on issues related to LGBTQ inclusion, liturgical reform, and engagement with contemporary social issues."
Jozef De Kesel,Belgium,Archbishop emeritus of Mechelen–Brussels,17 June 1947,77,"Cardinal Jozef De Kesel is a Belgian prelate of the Roman Catholic Church, born in 1947 in Ghent, Belgium, and ordained as a priest in 1972. He served as the Archbishop of Mechelen-Brussels from 2015 to 2023 and was elevated to cardinal by Pope Francis in 2016. Known for his progressive and conciliatory approach, De Kesel has advocated for a more open and inclusive Church, emphasizing dialogue with secular society and other faiths. He supports pastoral care for LGBTQ+ individuals, greater lay participation, and has shown cautious openness toward priestly celibacy debates, while also acknowledging the need for the Church to address its handling of abuse cases transparently and compassionately."
Carlos Aguiar Retes,Mexico,Archbishop of Mexico,9 January 1950,75,"Cardinal Carlos Aguiar Retes, born in 1950 in Tepic, Mexico, is a prominent Mexican prelate and currently the Archbishop of Mexico City. He is known for his progressive and pastoral approach, emphasizing dialogue, inclusivity, and the role of the laity in the Church. Aguiar Retes has supported Pope Francis’ agenda of reform, social justice, and engagement with contemporary issues facing society and the Church in Latin America. He has played a significant role in the Latin American Episcopal Conference (CELAM), advocating for the “New Evangelization” and a Church that listens to and accompanies people in their struggles, rather than one that simply imposes doctrine."
John Ribat MSC,Papua New Guinea,Archbishop of Port Moresby,9 February 1957,68,"Cardinal John Ribat, MSC, is a prominent Catholic leader from Papua New Guinea, born in 1957 in Volavolo. He is noted for being the first cardinal from his country, appointed by Pope Francis in 2016. As a member of the Missionaries of the Sacred Heart (MSC), Ribat is recognized for his deep commitment to social justice, environmental advocacy, and interreligious dialogue. He has been especially vocal about climate change, emphasizing its severe impact on Pacific island nations and urging global action to protect vulnerable communities. Ribat is also known for promoting peace, respect for indigenous cultures, and a compassionate, inclusive vision of the Catholic Church."
Joseph W. Tobin CSsR,United States,Archbishop of Newark,3 May 1952,72,"Cardinal Joseph W. Tobin, CSsR, is an American prelate of the Catholic Church and a member of the Congregation of the Most Holy Redeemer (Redemptorists). Born in 1952 in Detroit, Michigan, he has served as the Archbishop of Newark since 2017 and was named a cardinal by Pope Francis in 2016. Known for his pastoral approach and commitment to social justice, Tobin is recognized for his advocacy for immigrants, support for LGBT Catholics, and efforts to promote inclusivity within the Church. He reflects the pastoral priorities of Pope Francis, emphasizing mercy, dialogue, and accompaniment, and has at times voiced cautious, nuanced positions on divisive issues, calling for compassion and understanding rather than exclusion."
Juan José Omella,Spain,Archbishop of Barcelona,21 April 1946,79,"Cardinal Juan José Omella, born in 1946 in Cretas, Spain, has served as Archbishop of Barcelona since 2015 and was elevated to cardinal in 2017. His pastoral career includes missionary work in Zaire and leadership roles in various Spanish dioceses. Omella is known for his commitment to social justice, emphasizing the Church's role in supporting the marginalized and advocating for the protection of family values. He has expressed that the Church should not align with political positions to avoid partisanship. In response to sexual abuse cases within the Church, Omella has publicly apologized and initiated independent audits to address the issue. He has also criticized legislative changes that liberalize abortion laws in Spain, describing them as ""illogical."" ([thetablet.co.uk](https://www.thetablet.co.uk/news/16670/cardinal-condemns-spain-abortion-law-reforms?utm_source=openai)) "
Anders Arborelius OCD,Sweden,Bishop of Stockholm,24 September 1949,75,"Cardinal Anders Arborelius, born in 1949 in Switzerland and raised in Sweden, is a Discalced Carmelite (OCD) and the first native Swede to become a Catholic bishop since the Reformation. Appointed Bishop of Stockholm in 1998 and created a cardinal by Pope Francis in 2017, Arborelius is widely recognized for his ecumenical outlook, commitment to dialogue with other Christian communities, and advocacy for migrants and social justice. His theological perspective is shaped by Carmelite spirituality, emphasizing contemplation, humility, and service, and he encourages the Catholic Church in Sweden to be a welcoming, inclusive presence in an overwhelmingly secular and Lutheran context."
Angelo De Donatis,Italy,Major Penitentiary,4 January 1954,71,"Cardinal Angelo De Donatis, born in 1954 in Casarano, Italy, is an Italian prelate of the Catholic Church. He was appointed Cardinal Vicar of Rome by Pope Francis in 2017, making him responsible for the pastoral care of the Diocese of Rome. Known for his pastoral sensitivity and spiritual depth, De Donatis is considered a close ally of Pope Francis, supporting the Pope’s emphasis on mercy, pastoral accompaniment, and synodality within the Church. He advocates for a Church that is more inclusive, attentive to human frailty, and focused on direct pastoral engagement, particularly with young people and those on the margins."
Joseph Coutts,Pakistan,Archbishop emeritus of Karachi,21 July 1945,79,"Cardinal Joseph Coutts, born in Karachi, Pakistan, in 1945, is a prominent Catholic leader known for his advocacy of interfaith harmony and religious tolerance. Serving as the Archbishop of Karachi and elevated to cardinal by Pope Francis in 2018, Coutts has dedicated his ministry to promoting peace and understanding between Christians and Muslims in Pakistan, often amidst challenging conditions for religious minorities. He is recognized for his moderate views, commitment to dialogue, and efforts to uphold human rights and social justice, making him a respected voice for coexistence and compassion in a predominantly Muslim society."
António Marto,Portugal,Bishop emeritus of Leiria–Fátima,5 May 1947,77,"Cardinal António Marto is a Portuguese prelate of the Catholic Church, born in 1947, who served as Bishop of Leiria-Fátima from 2006 to 2022. Known for his pastoral sensitivity and openness, Marto is recognized for his progressive views within the Church, notably his sympathy for Pope Francis' reforms and his willingness to address contemporary issues such as immigration, secularization, and the role of women in the Church. He has called for a more compassionate and listening Church, supported dialogue with non-believers, and advocated for the Church to respond to modern challenges with mercy and understanding rather than rigidity."
Désiré Tsarahazana,Madagascar,Archbishop of Toamasina,13 June 1954,70,"Cardinal Désiré Tsarahazana is a Malagasy prelate of the Roman Catholic Church, serving as the Archbishop of Toamasina in Madagascar. Born on June 13, 1954, he has played a significant role in the Catholic Church in Madagascar, advocating for social justice, poverty reduction, and improved education. Elevated to the cardinalate by Pope Francis in 2018, Tsarahazana is known for his commitment to dialogue, reconciliation, and the environment, reflecting the priorities of the broader Church in addressing the pressing needs of Madagascar’s people and the importance of global solidarity."
Giuseppe Petrocchi,Italy,Archbishop emeritus of L'Aquila,19 August 1948,76,"Cardinal Giuseppe Petrocchi, born on August 19, 1948, in Ascoli Piceno, Italy, has had a distinguished career in the Catholic Church, marked by his dedication to pastoral care and education. Ordained a priest in 1973, he served in various capacities, including as a professor and parish priest, before being appointed Bishop of Latina-Terracina-Sezze-Priverno in 1998. In 2013, he became the Archbishop of L'Aquila, a region severely affected by earthquakes, where he focused on both physical reconstruction and spiritual renewal. Elevated to cardinal by Pope Francis in 2018, Petrocchi has emphasized the importance of listening and empathy in ministry, advocating for a ""Samaritan's sensitivity"" that involves not only assisting others but truly understanding their situations. ([romereports.com](https://www.romereports.com/en/2018/07/11/giuseppe-petrocchi-cardinal-from-areas-devastated-by-earthquakes/?utm_source=openai)) His episcopal motto, ""Ante omnia caritas"" (""Above all, charity""), reflects his commitment to compassionate service. ([press.vatican.va](https://press.vatican.va/content/salastampa/en/documentation/cardinali_biografie/cardinali_bio_petrocchi_g.html?utm_source=openai)) "
Thomas Aquino Manyo Maeda,Japan,Archbishop of Osaka–Takamatsu,3 March 1949,76,"Cardinal Thomas Aquino Manyo Maeda is a Japanese prelate of the Catholic Church, born in 1949 in Tsuwasaki, Japan. He has served as Archbishop of Osaka and later of Osaka-Takamatsu, and was elevated to the College of Cardinals by Pope Francis in 2018. Maeda is known for his commitment to dialogue and reconciliation, particularly between Christians and other religious communities in Japan. He advocates for peace, nuclear disarmament, and care for marginalized people, drawing inspiration from Japanese Catholic history and the example of Christian martyrs. Cardinal Maeda emphasizes humility, compassion, and pastoral care, aligning his views closely with those of Pope Francis, especially on social justice and outreach to the peripheries."
Ignatius Suharyo Hardjoatmodjo,Indonesia,Archbishop of Jakarta,9 July 1950,74,"Cardinal Ignatius Suharyo Hardjoatmodjo is an Indonesian prelate of the Catholic Church who has served as the Archbishop of Jakarta since 2010 and was elevated to cardinal by Pope Francis in 2019. Known for his commitment to interfaith dialogue, social justice, and peacebuilding, he emphasizes the importance of harmony in Indonesia’s diverse, predominantly Muslim society. Cardinal Suharyo advocates for a Church that is close to the people, respects local cultures, and actively contributes to national unity and pluralism, often speaking out against violence and intolerance while promoting the role of religion in fostering mutual respect and understanding."
Juan García Rodríguez,Cuba,Archbishop of San Cristóbal de la Habana,11 July 1948,76,"Cardinal Juan de la Caridad García Rodríguez, born on July 11, 1948, in Camagüey, Cuba, is a prominent figure in the Cuban Catholic Church, known for his missionary zeal and commitment to social justice. Ordained in 1972, he served in various parishes before becoming Auxiliary Bishop of Camagüey in 1997 and Archbishop in 2002. In 2016, Pope Francis appointed him Archbishop of Havana, and he was elevated to cardinal in 2019. García Rodríguez has been instrumental in revitalizing the Church in Cuba, developing innovative catechesis programs that engage grandparents to teach Catholic principles to their grandchildren, and establishing prison ministries with government approval. He has expressed concern over the stagnation of dialogue between the Church and the Cuban government, advocating for greater understanding and cooperation. While he has not publicly taken a strong stance on issues like same-sex marriage, he co-signed a 2018 message from Cuban bishops criticizing the proposed constitutional definition of marriage as ""the union of two persons,"" describing it as ""mal founded and erroneous."" ([washingtonblade.com](https://www.washingtonblade.com/2019/09/05/quien-es-juan-garcia-rodriguez-el-nuevo-cardenal-cubano-y-que-piensa-de-la-comunidad-lgbti/?utm_source=openai)) "
Fridolin Ambongo Besungu OFMCap,Democratic Republic of the Congo,Archbishop of Kinshasa,24 January 1960,65,"Cardinal Fridolin Ambongo Besungu OFMCap is a Congolese prelate and member of the Order of Friars Minor Capuchin, born in 1960. He serves as the Archbishop of Kinshasa in the Democratic Republic of the Congo and was named cardinal by Pope Francis in 2019. Renowned for his strong advocacy for peace, social justice, and environmental protection, Ambongo has been a vocal critic of political corruption and violence in the Congo, urging governmental responsibility and reforms. He is also a leading figure in the African Catholic Church, emphasizing the importance of the Church’s social mission and aligning closely with Pope Francis’s priorities regarding care for the poor, dialogue, and ecological concerns."
Jean-Claude Hollerich SJ,Luxembourg,Archbishop of Luxembourg,9 August 1958,66,"Cardinal Jean-Claude Hollerich SJ is a Luxembourgish Jesuit and Archbishop of Luxembourg, born in 1958. He is known for his progressive stance within the Catholic Church, particularly on issues such as LGBTQ+ inclusion and the role of women. Appointed by Pope Francis as the Relator General for the Synod on Synodality, Hollerich advocates for dialogue, greater openness, and reform-minded approaches within Church doctrine and practice. He is recognized for encouraging a listening Church and has suggested that Catholic teachings, especially about homosexuality, may need to evolve to reflect contemporary understanding."
Álvaro Leonel Ramazzini Imeri,Guatemala,Bishop of Huehuetenango,16 July 1947,77,"Cardinal Álvaro Leonel Ramazzini Imeri is a Guatemalan Roman Catholic prelate known for his advocacy on social justice, indigenous rights, and environmental issues. Born in 1947 and ordained a priest in 1971, he has served as Bishop of San Marcos and later of Huehuetenango, focusing on defending marginalized communities against exploitation, particularly by mining interests. Cardinal Ramazzini is recognized for his outspoken criticism of corruption and human rights abuses, often facing threats for his activism. Created a cardinal by Pope Francis in 2019, he is seen as a leading voice within the Church for the poor and the protection of creation, in line with the Pope’s emphasis on social and environmental justice."
Matteo Zuppi,Italy,Archbishop of Bologna,11 October 1955,69,"Cardinal Matteo Zuppi is an Italian prelate of the Catholic Church, born in 1955, who has served as the Archbishop of Bologna since 2015 and was elevated to cardinal by Pope Francis in 2019. He is closely associated with the Community of Sant’Egidio, a Catholic lay association known for its work in peacebuilding, interreligious dialogue, and social justice. Zuppi is recognized for his progressive views on issues such as immigration, poverty, and inclusivity, and he supports the Church being open and welcoming to all. Throughout his ministry, he has emphasized dialogue, compassion for marginalized groups, and a pastoral approach that aligns closely with Pope Francis' vision of a more merciful and outward-looking Church."
Cristóbal López Romero SDB,Morocco [ f ],Archbishop of Rabat,19 May 1952,72,"Cardinal Cristóbal López Romero SDB, born in Spain in 1952, is a member of the Salesians of Don Bosco and has dedicated much of his life to education and missionary work, particularly in North Africa. Appointed Archbishop of Rabat, Morocco, in 2017 and elevated to cardinal in 2019 by Pope Francis, he is known for his strong commitment to interreligious dialogue, especially with Islam, and for advocating the rights and dignity of migrants and the marginalized. López Romero emphasizes a Church that serves as a bridge-builder and promotes peace, tolerance, and respect among different cultures and faiths, reflecting Pope Francis' vision of inclusion and outreach to the peripheries."
Antoine Kambanda,Rwanda,Archbishop of Kigali,10 November 1958,66,"Cardinal Antoine Kambanda is a Rwandan Roman Catholic prelate who became the Archbishop of Kigali in 2018 and was made a cardinal by Pope Francis in 2020, the first Rwandan to receive this honor. Born in 1958, Kambanda survived the 1994 Rwandan genocide, which claimed the lives of many of his family members. Known for his commitment to reconciliation and healing in post-genocide Rwanda, he strongly emphasizes forgiveness, peace-building, and the Church's role in fostering unity. Kambanda is also recognized for supporting social justice, advocating for youth engagement, and encouraging a faith deeply integrated with daily life and national development."
Wilton Daniel Gregory,United States,Archbishop emeritus of Washington,7 December 1947,77,"Cardinal Wilton Daniel Gregory, the Archbishop of Washington since 2019, is the first African American cardinal in U.S. history. Born in Chicago in 1947, Gregory was ordained a priest in 1973 and rose to prominence as Bishop of Belleville and later as Archbishop of Atlanta. Known for his moderate and pastoral approach, Gregory advocates for racial justice, inclusivity, and healing within the Catholic Church, particularly in response to the sexual abuse crisis. He often emphasizes dialogue, unity, and a welcoming stance toward marginalized groups, aligning with Pope Francis’s focus on compassion, social justice, and care for the vulnerable."
Jose Advincula OP,Philippines,Archbishop of Manila,30 March 1952,73,"Cardinal Jose F. Advincula, O.P., is a Filipino prelate of the Roman Catholic Church who was appointed as the Archbishop of Manila in 2021. Born in 1952 in Capiz, Philippines, he was ordained a priest in 1976 and has served in various pastoral and academic roles, including as rector, seminary professor, and bishop of San Carlos and Capiz. Known for his humility and pastoral focus, Cardinal Advincula has emphasized synodality, inclusivity, and caring for marginalized communities in his ministries. He is also recognized for supporting reforms within the Church and promoting dialogue, charity, and social justice, especially in the context of poverty and human rights issues in the Philippines."
Augusto Paolo Lojudice,Italy,Archbishop of Siena–Colle di Val d'Elsa–Montalcino and Bishop of Montepulciano–Chiusi–Pienza,1 July 1964,60,"Cardinal Augusto Paolo Lojudice is an Italian prelate born in Rome in 1964, known for his dedication to social justice, especially regarding migrants, the marginalized, and the poor. Ordained a priest in 1991, he has served in various pastoral roles in Rome, focusing on outreach to the disadvantaged. Elevated to cardinal by Pope Francis in 2020, Lojudice is recognized for his advocacy for migrant rights and outspoken criticism of racism and exclusionary policies. He emphasizes the Church’s mission to serve society’s most vulnerable and often calls for concrete action to support immigrants and marginalized communities, aligning closely with Pope Francis’s vision of a compassionate, inclusive, and socially engaged Church."
Jean-Marc Aveline,France,Archbishop of Marseille,26 December 1958,66,"Cardinal Jean-Marc Aveline is a French prelate of the Catholic Church, born in Algeria in 1958 and raised in France. He has served as the Archbishop of Marseille since 2019 and was made a cardinal by Pope Francis in 2022. Aveline is recognized for his commitment to interreligious dialogue, particularly among Christians, Jews, and Muslims, and his advocacy for immigrant and marginalized communities, reflecting Marseille's diverse population. He supports an inclusive, dialogical Church that engages with social issues, promotes fraternity, and pursues peace, closely aligning with Pope Francis's vision of a synodal, outward-facing Catholicism."
Peter Okpaleke,Nigeria,Bishop of Ekwulobia,1 March 1963,62,"Cardinal Peter Okpaleke is a Nigerian Roman Catholic prelate born in 1963, known for his resilience and commitment to reconciliation amid church conflicts. Appointed Bishop of Ahiara in 2012, his assignment faced strong local resistance, prompting his resignation in 2018. In 2020, Pope Francis appointed him as the first Bishop of Ekwulobia. Elevated to the cardinalate in 2022, Okpaleke is recognized for advocating dialogue, unity, and humility within the church, emphasizing fidelity to church authority and service to all, especially in the face of ethnic and regional tensions within Nigerian Catholicism."
Leonardo Ulrich Steiner OFM,Brazil,Archbishop of Manaus,6 November 1950,74,"Cardinal Leonardo Ulrich Steiner, OFM, is a Brazilian Franciscan friar and the Archbishop of Manaus, elevated to cardinal by Pope Francis in 2022. Born in 1950 in Forquilhinha, Brazil, Steiner is known for his advocacy on behalf of the Amazonian peoples and the environment, reflecting Pope Francis's priorities. Deeply committed to social justice, he played a significant role in the Synod for the Amazon, urging the Church to listen to indigenous communities and defend their lands. Steiner emphasizes dialogue, humility, and ecological responsibility, aligning with a pastoral approach that prioritizes the marginalized and the care of creation."
Filipe Neri Ferrão,India,Archbishop of Goa and Daman and Patriarch of the East Indies,20 January 1953,72,"Cardinal Filipe Neri Ferrão, born in 1953 in Aldona, Goa, is the Archbishop of Goa and Daman and the Patriarch of the East Indies, a prominent figure in the Indian Catholic Church. Appointed bishop in 2003, Ferrão is known for advocating social harmony, interfaith dialogue, and the protection of minority rights, particularly the Christian community in India. He has voiced concerns about religious intolerance and emphasized the importance of constitutional values and secularism. Elevated to cardinal by Pope Francis in 2022, Ferrão is respected for his pastoral leadership, commitment to social justice, and efforts to preserve the cultural and spiritual heritage of his Goan Catholic community."
Robert W. McElroy,United States,Archbishop of Washington,5 February 1954,71,"Cardinal Robert W. McElroy, appointed cardinal by Pope Francis in 2022, is the Bishop of San Diego and known for his progressive and pastoral approach within the Catholic Church. Born in San Francisco in 1954, he has an academic background from Harvard, Stanford, and the Gregorian University in Rome. McElroy is recognized for advocating greater inclusion, particularly towards LGBTQ Catholics, and prioritizing issues like poverty, immigration, and environmental justice. He emphasizes dialogue, conscience, and accompaniment over culture-war politics, often aligning with Pope Francis’s vision of a more merciful and outward-facing Church."
Virgílio do Carmo da Silva SDB,Timor-Leste,Archbishop of Díli,27 November 1967,57,"Cardinal Virgílio do Carmo da Silva SDB is an East Timorese Roman Catholic prelate and member of the Salesians of Don Bosco. Born in 1967 in Venilale, Timor-Leste, he became the first cardinal in the history of his country in 2022. Known for his deep pastoral commitment and advocacy for social justice, education, and peace, Cardinal da Silva has played a pivotal role in promoting reconciliation and nation-building in post-independence Timor-Leste. He emphasizes the Church’s role in fostering unity, dialogue, and addressing the needs of the marginalized, focusing especially on youth empowerment and interfaith cooperation."
Oscar Cantoni,Italy,Bishop of Como,1 September 1950,74,"Cardinal Oscar Cantoni, born on September 1, 1950, in Lenno, Italy, was ordained a priest in 1975 and has served as Bishop of Crema (2005–2016) and Bishop of Como since 2016. Elevated to the cardinalate by Pope Francis in August 2022, he is known for his pastoral focus on youth and the marginalized, exemplified by initiating Italy's first diocesan 'youth mission' in 2010, which extended outreach beyond traditional church settings. His episcopal motto, ""Fare di Cristo il cuore del mondo"" (""Make Christ the heart of the world""), reflects his commitment to integrating Christ into all aspects of life. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Oscar_Cantoni?utm_source=openai)) "
Anthony Poola,India,Archbishop of Hyderabad,15 November 1961,63,"Cardinal Anthony Poola, born on November 15, 1961, in Poluru, Andhra Pradesh, India, is the first Dalit and Telugu-speaking cardinal in the Catholic Church. Ordained a priest in 1992, he served in various pastoral roles before being appointed Bishop of Kurnool in 2008 and Archbishop of Hyderabad in 2020. Elevated to the College of Cardinals by Pope Francis in 2022, Cardinal Poola is dedicated to serving marginalized communities, particularly the Dalits, emphasizing education and social empowerment as means to uplift the poor. He aspires to be a ""missionary of compassion,"" focusing on aiding impoverished children and advocating for the rights of the underprivileged. ([vaticannews.va](https://www.vaticannews.va/en/church/news/2022-06/dalit-india-consistory-cardinal-anthony-poola-interview.html?utm_source=openai)) "
Paulo Cezar Costa,Brazil,Archbishop of Brasília,20 July 1967,57,"Cardinal Paulo Cezar Costa, born in 1967 in Valença, Brazil, is a prominent figure in the Catholic Church, currently serving as the Archbishop of Brasília, and was elevated to cardinal by Pope Francis in 2022. Known for his academic background in theology, Costa earned a doctorate in dogmatic theology from the Pontifical Gregorian University in Rome and has served as a seminary rector and professor. He is recognized for his commitment to dialogue, inclusion, and pastoral outreach, reflecting Pope Francis’s vision for a more synodal and compassionate Church. Costa advocates for social justice, environmental care, and the active engagement of the Church in addressing Brazil's social inequalities."
William Goh,Singapore,Archbishop of Singapore,25 June 1957,67,"Cardinal William Goh, born in Singapore in 1957, is the Archbishop of Singapore and became the country’s first cardinal in August 2022. Known for his pastoral dedication, Goh emphasizes the importance of building a vibrant, missionary, and inclusive Church community. He advocates for the Church’s engagement with society while upholding traditional Catholic teachings, especially on social and moral issues. Goh encourages interreligious dialogue and national unity in Singapore’s multicultural context, calling for Catholics to be compassionate, morally steadfast, and actively involved in public life, always guided by love and respect for others."
Adalberto Martínez Flores,Paraguay,Archbishop of Asunción,8 July 1951,73,"Cardinal Adalberto Martínez Flores, born on July 8, 1951, in Asunción, Paraguay, is the first Paraguayan cardinal, appointed by Pope Francis in August 2022. ([press.vatican.va](https://press.vatican.va/content/salastampa/en/documentation/cardinali_biografie/cardinali_bio_martinezflores_a.html?utm_source=openai)) He studied economics at the Universidad Nacional de Asunción and theology at the Pontifical Lateran University in Rome. Ordained a priest in 1985, he served in various capacities, including as Bishop of San Lorenzo and Military Ordinary of Paraguay, before becoming Archbishop of Asunción in 2022. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Adalberto_Mart%C3%ADnez_Flores?utm_source=openai)) Cardinal Martínez Flores is known for his strong stance against corruption and organized crime, emphasizing the need for transparency and justice in Paraguayan society. He advocates for communication rooted in truth, goodness, and beauty to foster dialogue and unity. ([adn.celam.org](https://adn.celam.org/cardenal-martinez-flores-el-pueblo-paraguayo-sufre-graves-amenazas-a-su-institucionalidad-por-el-avance-de-la-corrupcion-y-el-crimen-organizado/?utm_source=openai), [adn.celam.org](https://adn.celam.org/cardenal-martinez-flores-una-comunicacion-basada-en-la-verdad-la-bondad-y-la-belleza-construye-puentes-de-dialogo/?utm_source=openai)) "
Giorgio Marengo IMC,Mongolia [ g ],Apostolic Prefect of Ulaanbaatar,7 June 1974,50,"Cardinal Giorgio Marengo, IMC, is an Italian Roman Catholic missionary and member of the Consolata Missionaries (IMC). Born in 1974, he has spent most of his pastoral career in Mongolia, where he became the youngest cardinal in the world after being elevated by Pope Francis in 2022. As Prefect Apostolic of Ulaanbaatar, Marengo is known for his deep commitment to interreligious dialogue, cultural sensitivity, and the promotion of peace and encounter between different faiths. He emphasizes humility, simplicity, and a pastoral approach anchored in listening and accompaniment, reflecting Pope Francis’s vision for a ""missionary church"" focused on the peripheries."
Pierbattista Pizzaballa OFM,Jerusalem [ h ],Latin Patriarch of Jerusalem,21 April 1965,60,"Cardinal Pierbattista Pizzaballa, OFM, is an Italian Franciscan friar and the Latin Patriarch of Jerusalem, appointed in 2020 and elevated to cardinal in 2023. He has a deep background in interfaith dialogue and Middle Eastern affairs, having previously served as Custos of the Holy Land. Pizzaballa is known for advocating peace, coexistence, and religious freedom in the fraught Israeli-Palestinian context. He often emphasizes the importance of maintaining a Christian presence in the Holy Land and encourages dialogue among Christians, Jews, and Muslims. He has publicly called for nonviolence, humanitarian support, and respect for human dignity amid ongoing conflict in the region."
